Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Jennifer Hernandez,39,11159.46,0,3.95,11,2010-8-23 13:43,"1526 Jessica Corner Suite 592 Lindsayshire, OH 56989-0550","Howe, Carpenter and Washington",0
Heather Figueroa,36,12668.26,0,4.54,12,2007-6-27 2:09,"945 Blankenship Plain Suite 062 East Christopherville, MI 15647-1190",Martin and Sons,0
Russell Marks,38,9087.9,0,2.7,10,2015-2-10 10:17,"310 Taylor Walks Apt. 649 Lake Shane, MD 23982",Mcknight and Sons,0
Riley Gill,41,9091.21,0,4.55,11,2007-10-20 8:11,"30353 Amber Extension Apt. 202 Austinberg, VA 89084","Robertson, Young and Mcfarland",0
Brian Love,44,8755.02,1,5.71,8,2010-6-15 2:58,"43677 Smith Mission Meganview, VA 54055",Quinn and Sons,0
Lauren Walker,37,6362.93,1,6.8,7,2007-8-2 2:34,"599 Graham Courts North Katherine, WI 92642",Young-Newman,0
Melanie Bender,48,13189.35,0,3.25,7,2006-1-18 3:29,"007 Shaw Trafficway Patrickstad, PA 29094-0827",Richardson-Keller,0
Samuel Castillo,47,10584.71,0,6.05,8,2006-4-14 4:20,"63139 Kristin Locks Suite 522 Lambton, WI 60723-5177",Jimenez-Thompson,0
Ashley Soto,49,9853.64,1,6.95,6,2012-1-1 21:48,"275 Thompson Street Lake Nathan, AS 67338-1025",Brown Inc,0
Adriana James,36,10448.09,0,4.13,8,2016-4-9 9:02,USNV Ferguson FPO AP 58507,"Doyle, Butler and Coleman",0
Andrea Salas,42,11473.38,1,2.87,10,2015-3-19 22:32,"308 Graham Corners Valeriehaven, SC 12062",Blackwell PLC,0
Erik Johnson,39,8986.28,0,4.36,8,2007-12-12 11:10,"6987 Weiss Flats Apt. 770 North Maria, MS 98836-9686",Lewis Group,0
Christopher Whitehead,33,13314.19,0,5.45,9,2007-1-10 1:47,"323 Farmer Cape Apt. 744 Jonathanfort, NJ 29387-2732",Harvey-Mckay,0
Casey Mcdaniel,41,9918.77,0,4.02,10,2016-3-4 4:04,Unit 5523 Box 7609 DPO AA 77484-6339,Bishop and Sons,0
Jeremiah Lee,45,12783.21,1,4.47,10,2015-12-2 8:14,"03538 Gonzalez Forges Hamiltonbury, CA 87284",Snyder PLC,0
Jennifer Patterson,46,7026.18,0,6.3,8,2012-1-31 23:08,"01546 Jared Key Justinview, OR 04118-6027","Carlson, King and Murray",0
Lawrence Morton,48,9706.88,0,6.45,8,2006-8-24 18:32,"0434 Douglas Ridge Suite 884 Raychester, DE 82008",Clark LLC,0
Jeffrey Hunt,42,10236.95,1,5.71,8,2013-12-11 11:20,"479 Samantha Groves Suite 505 Morrowshire, CA 94582-2855",Garcia Group,0
Gina Richardson,33,13157.08,1,5.04,10,2006-8-14 9:24,"44577 John Keys Robertview, FL 73433-8410",Murphy Inc,0
Richard Farmer,44,8588.46,1,7.77,8,2012-5-7 9:58,"115 Courtney Springs Suite 396 Jenniferland, IL 43853-4718","Schroeder, Hines and Thompson",0
Brian White,48,7778.73,1,4.18,8,2013-1-9 6:06,"PSC 1209, Box 3739 APO AE 03896","Martinez, Ochoa and Jennings",0
Richard Meadows,42,10268,0,5.33,6,2007-9-14 4:40,"64425 Brittany Common Joycechester, NE 85166-7648","Thompson, Rojas and Moore",0
Omar Moore,34,9845.35,0,4.82,7,2008-12-4 20:34,"960 Joseph Landing South Philip, MH 88524-5021",Ortiz-Nixon,0
Tasha Reed,37,11912.13,0,5.67,10,2011-2-19 18:04,"575 Kara Shores Anthonyburgh, VT 30056",Price Group,0
Albert Clayton,33,12115.91,1,5.5,9,2010-8-9 0:14,Unit 6274 Box 5329 DPO AA 54598,"Mann, Roberts and Hoffman",0
John Mejia,35,10801.37,1,5.64,11,2014-12-4 7:09,"1159 Charles Mountain Elainechester, ND 45109",Adams-Crawford,0
Diane Terry,53,13173.82,0,5.26,7,2007-10-15 3:45,"543 Bell Ranch Apt. 002 Kevinfurt, ID 14051-9447","Walton, Barnes and Simon",0
Christina Maldonado,49,9940.76,0,5.72,11,2006-8-28 11:16,"483 Douglas Club Apt. 632 Port Valerie, PW 88649-6413","Moreno, Green and Moreno",0
Kathryn Malone,46,12261.79,1,3.72,10,2010-2-17 15:02,"52750 Roberts Via Stephenstad, ME 82199-5372",Stewart-Nichols,0
Cynthia Burns,47,12987.28,0,5.86,10,2007-8-30 7:15,USCGC Gould FPO AP 18053-9165,"Perez, Miller and Mcdowell",0
Christina Reed,51,4523.91,0,3.98,8,2013-3-6 1:02,"53000 Mary Bypass New Markbury, IL 60012-4197",Atkins Group,0
Brittney Stokes,41,6172.23,0,4.28,8,2013-11-11 4:06,"1045 Kimberly Avenue South John, AR 19601",Hood-Webb,0
Mary Griffin,49,6283.67,0,6.35,11,2007-1-7 4:15,"91062 Michelle Underpass Lloydmouth, ND 88737",Mathews-Clark,0
Carla Wolfe,48,7232.06,1,4.9,6,2009-11-21 12:47,"67507 Brittany Prairie Apt. 279 Solisborough, VA 81388-7017",Ross Group,0
Emily Little,35,6683.82,1,7.82,7,2015-5-6 23:55,"1779 Jessica Glen West Tylerport, VT 62988-2923",Moore PLC,0
Jason Santana,39,9408.96,1,3.83,4,2011-9-30 6:15,"8072 Kathy Harbors Apt. 845 Normanburgh, MA 46572-1532",Gonzalez LLC,0
Willie Proctor,47,8291.93,0,4.47,7,2012-4-28 20:15,"62726 Tracey Passage Apt. 685 South Brittany, RI 28461",Schmidt Group,0
Todd Harris,41,10017.82,0,6,8,2012-9-10 22:22,"28501 Shawn Village Apt. 894 New Jasonhaven, WY 35010-3731","Henry, Warren and Lyons",0
Kimberly Nichols,38,7320.49,0,1.58,10,2008-1-16 23:56,"4920 Byrd Ford Danielbury, VI 04457",King-Rodriguez,0
Derek Russell,43,8817.29,0,3.19,8,2010-5-28 12:49,"2445 Jean Row Vasquezbury, RI 25867-8317",Hartman-Smith,0
Robert Huff,36,8948.86,0,7.37,10,2010-12-5 10:46,"36802 Wallace Parkways Jacquelineland, IL 81451","Carlson, Guerra and Daniel",0
Kelly Terry,45,3689.95,1,5.01,11,2014-10-9 10:05,"3798 Johnson Gardens Hughesside, PR 65467","Ellis, Johnston and Sullivan",0
Francisco Martinez,52,8185.22,1,5.76,8,2016-10-12 21:52,"842 Hebert Wells Suite 823 North Tina, WI 75284-1996","Washington, Watson and Jarvis",0
Jason Garcia,43,9347.89,1,4.17,8,2009-1-19 11:50,"751 Robert Lock Suite 515 Smithmouth, KS 83199-2220",Reid and Sons,0
Daniel Johnson,42,12888.85,1,4.79,8,2010-3-30 4:37,"01614 Parker Garden New Patricia, SD 99014",Turner and Sons,0
Gregory Blake,41,5387.41,1,4.17,8,2013-3-26 16:02,"25024 Rasmussen Haven Port Brendantown, UT 25626-9953","Brooks, Sutton and Castro",0
Richard Odonnell,38,7605.49,0,6.99,10,2014-3-13 19:27,"0297 Mendoza Motorway Lisastad, IN 31184-3807","Lewis, West and Snyder",0
Monica Espinoza,45,8480.93,0,4.57,9,2009-6-26 10:22,"602 Jennifer Brook Suite 753 North Alison, NJ 24477","Pratt, Carter and Lopez",0
David Hansen,29,11274.46,1,4.43,8,2014-3-31 7:43,"742 Ortiz Street Apt. 568 Robertland, AS 94732-7050","Crawford, Scott and Smith",0
Elizabeth Chandler,43,13116.73,0,3.57,9,2006-4-15 3:59,USNS Garcia FPO AA 23264-4875,Morris Inc,0
Michael White,32,7896.65,0,7.12,8,2015-10-17 17:47,"48465 Susan Summit Suite 561 Hawkinston, WY 60818",Hawkins-Mckay,0
William Pacheco,36,12086.92,1,5.52,6,2008-3-11 20:48,"PSC 6149, Box 2267 APO AA 69767-2977",Wilkerson-Miller,0
Dr. Brandon Adams,42,10500.77,0,5.68,6,2013-6-22 6:20,"93971 Jacob Flats Port Shannonton, IN 95823-2039",Friedman-Carroll,0
William Burns,38,7673,1,7.42,7,2006-2-25 19:40,"432 Allen Station North Rebecca, MA 78424-2850","Santos, Hughes and Miller",0
Jack Ortega,42,14242.7,0,5.79,10,2009-6-9 7:44,"49625 Joseph Mountain West Brandon, AL 19037-8797",Anderson-Evans,0
Jonathan Cooley,40,6590.63,1,4.52,7,2012-3-12 14:56,"3012 Kimberly Lights West Teresa, CA 83239",Larsen-Johnson,0
Erin Norris,37,15070.32,0,6.91,6,2016-1-2 16:43,"081 Randy Crest Apt. 821 South James, LA 27688-1775",Garcia LLC,0
Michael Grant,37,13717.41,1,6.5,7,2014-3-31 8:16,"2978 Luke Cape Tracyfort, NJ 87595-8510","Flores, Davis and Duncan",0
Connor Knapp,41,9219.95,1,5.21,10,2015-9-21 16:18,"7805 Kerri Route Marystad, UT 08020","Smith, Simpson and Wolf",0
Megan Jenkins,65,10430.5,0,6.5,6,2013-3-10 14:36,"3462 Teresa Falls Apt. 035 Charlesview, MS 09689-7606",Bates-Ramos,0
Sarah Hall,45,5200.06,1,6.33,8,2014-5-5 13:36,"3930 Baker Square North Michaelside, PR 98680",Sanchez-Brown,0
Tony Schneider,43,11197.42,1,3.48,9,2009-4-30 13:55,"329 Pierce Place Apt. 176 North Tammybury, WV 17594",Harper-Noble,0
Karen Peterson,45,13650.64,0,4.96,8,2010-4-5 2:15,"1721 Diana Canyon Suite 811 Dukemouth, NC 04129-3149","Moore, Donaldson and Stevens",0
Tiffany Case,42,7351.72,0,5.26,9,2015-9-26 1:05,"0792 Denise Lodge Apt. 903 Jenniferchester, HI 96154-9657",Clark Inc,0
Mary Sanchez,33,10306.21,1,6.36,9,2011-12-20 17:01,"073 Joseph Knolls Apt. 112 West Mary, NV 59877","Smith, Wright and Price",0
David Moran,37,10147.22,0,6.63,8,2014-7-2 6:46,"278 Barbara Divide Suite 780 North Elizabeth, SC 44587-8722","Harris, Mcdonald and Johnson",0
David Lopez,48,10528.71,0,5,9,2007-9-17 5:36,"1630 Robert Points Apt. 793 East Jonathonberg, NH 78592-4122",Good Inc,0
Cynthia Nguyen,41,10054.6,1,4.93,6,2015-4-28 16:20,"PSC 5666, Box 1288 APO AE 26505",Sullivan-Weaver,0
Brittany Smith,45,8595.24,0,6.4,10,2012-11-8 6:43,"151 Sara Springs Lake Davidside, AK 46384-8806",Patrick-Walker,0
Laura Smith,45,6681.61,1,5.6,8,2010-6-16 21:05,"1723 Galloway Groves Apt. 026 Timothystad, PR 36052-9128","West, Gonzales and Shields",0
Michael Dominguez,29,10203.18,1,5.82,8,2014-1-3 23:18,"3043 Walters Loaf Suite 575 Christophermouth, TN 25692",Guzman-Hunter,0
Paul Wagner,42,10427.12,0,6.64,10,2011-6-4 23:57,"49936 Colleen Stream Port Elizabeth, MN 80287-5385","Santos, Jackson and Guerrero",0
Calvin Coleman,39,10388.38,0,5.1,7,2013-7-9 16:29,Unit 9127 Box 5819 DPO AE 24161,Stark-Clarke,0
Lisa Burton,39,9353.38,0,4.06,7,2014-2-4 2:19,Unit 9800 Box 2878 DPO AA 75157,Smith-Alexander,0
John Gonzales,42,11756.06,0,4.88,8,2014-7-31 14:15,"3880 Denise Curve South Christopher, NC 79432","Martin, White and Hernandez",0
Linda Hubbard,40,12295.95,1,5.69,11,2010-1-8 23:22,"8983 Benjamin Run South Kelseytown, AZ 03915",Vincent Group,0
Rachel Hull,40,7819.46,1,4.77,9,2014-7-3 11:47,"02794 Edward Summit Suite 660 Victoriahaven, TN 44165",Taylor LLC,0
Tracy Ray,34,10674.92,1,3.09,9,2006-8-15 20:48,Unit 3715 Box 1153 DPO AA 36768-7501,Wise Inc,0
Sarah Bailey,37,10989.43,0,6.62,10,2013-7-14 15:25,"56493 Becker Stravenue Suite 006 West Anna, MS 49275",Spencer and Sons,0
Aaron King,46,7504.79,0,5.98,8,2007-5-13 20:42,"38346 Smith Prairie Arnoldside, MD 33861-4885",Hernandez PLC,0
Bradley Washington,46,9306.05,0,5.35,7,2016-1-1 18:31,"149 Paula Divide Vazquezfurt, MN 57597-1890",Smith and Sons,0
Holly Caldwell,37,11523.63,1,3.56,7,2014-10-29 11:21,"020 Amy Groves Suite 845 Phillipsport, AL 40594","Spencer, Young and Shaw",0
Cheryl Bruce,44,9613.84,1,4.38,8,2014-6-18 19:25,"PSC 5054, Box 2004 APO AP 20629","Oconnor, Hernandez and Bailey",0
Megan Flynn,48,13298.38,0,2.99,8,2015-12-6 16:55,"86354 Brenda Manor Port Stevenmouth, NC 39915","Smith, Shelton and Williams",0
Amanda Williams,37,8614.75,0,5.03,9,2011-7-7 15:43,"79676 Johnson Villages Apt. 089 Reyesstad, DC 78510",Jones-Fisher,0
Amy Morris,45,9951.97,1,4.4,6,2015-4-1 19:58,"017 Gutierrez Fork New Benjamin, VA 99400","Patel, Smith and Campos",0
Teresa Garcia,46,11343.33,1,3.69,8,2012-9-20 5:52,"2374 Jackson Walks Larryberg, PW 89438-7588",Ibarra and Sons,0
Thomas Mcintosh,38,10026.44,1,6.85,9,2014-1-12 2:04,"510 Alexander Pike New Scottfort, NV 46217-8559",Garrett Ltd,0
Justin Friedman,38,8473.65,1,4.78,7,2010-11-29 19:37,"9195 Erin Terrace Suite 818 Lake Feliciaberg, NV 64016-8747",Garcia-Johnson,0
Whitney Beasley,42,12989.06,0,5,10,2010-3-15 16:50,"PSC 3448, Box 5424 APO AE 92778-0504",Knight Inc,0
Beverly Perry,38,12893.47,1,5.69,5,2012-11-20 5:53,"3145 Cruz Mill North Deborahstad, AR 02085",Mathis Ltd,0
David Sweeney,34,7324.32,0,6.69,10,2014-12-16 2:23,"755 Ashley Motorway Suite 227 West Rachel, NH 67933-7552","Adams, Dominguez and Vasquez",0
Amber Williams,40,8530.23,1,3.66,10,2012-3-2 18:33,"2896 Diana Spur Suite 985 New Tami, IN 56915","Lee, Daniels and Ryan",0
Lisa Murray,46,10675.86,0,3.33,7,2014-12-6 22:07,"943 Briana Circles Lake Joseph, UT 22842-6913","Herring, Lee and Taylor",0
Jose Hoffman,43,10300.24,0,6.44,8,2008-6-15 13:51,"244 Johnson Court Lake Justin, MD 66889-8251",Rice PLC,0
Regina Kirby,41,10921.54,0,5.07,3,2015-9-4 11:32,"310 Amy Underpass Suite 089 Lake Kevin, DC 23138-4553",Schaefer-Berry,0
Shawn Ramirez,42,10527.52,1,8.42,8,2008-2-3 2:07,"7873 Trevino Tunnel Angelamouth, AZ 84280","Gilbert, Bennett and Lindsey",0
Ruben Thomas,44,8338.05,0,6.57,11,2008-2-15 18:36,"919 Bennett Gateway Russochester, SC 57606",Cohen-Rodriguez,0
Austin Palmer,36,9593.71,0,3.98,6,2009-3-21 0:05,"85112 Raymond Ridge Suite 934 East Christinachester, CO 33248",Lynch-Davies,0
Anthony Hall,46,11537.69,1,6.37,7,2011-1-24 7:40,"0910 Bell Mount West Lindseyview, MS 35802",Kelly Group,0
Richard Gardner,35,12936.64,1,3.73,6,2010-7-31 2:11,"617 Diane River Lake Jillianton, TX 91296-2338",Alexander-Reed,0
Destiny Morales,40,8815.24,0,5.63,9,2012-11-15 4:23,"108 Oscar Rapids Port Vanessa, KY 23348-6290","Martin, Flores and Graham",0
Brittany Murphy,42,12300.94,1,6.89,10,2007-6-19 9:53,"892 Elizabeth Mission Apt. 511 West Leslieville, WA 98000-6023","Schmidt, Johnston and Kaufman",0
Tony Soto,35,11830.36,1,4.41,6,2006-10-1 16:57,"227 Jennifer Park Smithbury, TN 22659-9788",Nichols-Wade,0
Sharon Torres,36,14715.53,1,5.73,9,2014-1-31 0:05,"983 Carl Run Apt. 446 West Christina, NM 45895","Blanchard, Hawkins and Torres",0
Brenda Fuentes,44,9214.98,1,6.44,7,2016-3-4 14:24,"443 Shari Plains Apt. 479 Tiffanyside, TN 88122","Boyd, Jennings and Gutierrez",0
Rodney Evans,49,8092.13,0,6.32,5,2011-10-22 19:12,"025 Ricky Ford East John, AS 71101-1423",Simmons Inc,0
Robin Woods,41,12008.34,1,4.94,7,2009-12-24 12:36,"404 Joshua Estate Apt. 074 Jacobsonside, CT 88758-3164",Bright PLC,0
Jennifer Anderson,38,11803.58,1,6.97,6,2015-12-15 11:48,"521 Charles Lakes Lake Michaelland, NE 42708","Stewart, Sanchez and Valentine",0
Tabitha Love,37,13498.28,1,7.06,9,2007-11-23 13:38,"8308 Rhodes Crest Apt. 745 Beckyfurt, KS 20974-1928",Stein PLC,0
Diana Carroll,46,9601.95,0,5.9,9,2011-8-10 4:56,"3270 Barnes Station Suite 780 Lake Blake, TN 43554-9146",Rubio-Humphrey,0
Matthew Jacobs,54,13184.51,0,6.04,8,2013-3-20 17:57,"507 Harris Summit East Kevin, WY 06036-0197","Nichols, Carter and Goodman",0
Rebecca Prince,36,4690.57,1,5.41,8,2012-1-25 0:45,"209 Daniel Springs Suite 388 Port Courtneybury, PW 27640-7474",Sandoval-Mcgrath,0
Eric Smith,37,11416.56,0,6.06,6,2006-4-3 4:29,"166 Julie Vista Apt. 132 Lake Sarahborough, HI 29875",Thomas-Curtis,0
Jeffrey Hernandez,56,9940.54,1,6.57,7,2014-3-4 7:00,"2739 Jackson Mission Rojashaven, WI 86960",Thompson-Elliott,0
William Newman,35,13680.25,1,5.79,9,2011-10-7 15:43,"3785 Duran Lodge Port Nicholashaven, MH 08892-1815",Williams-Charles,0
Ashley Smith,29,5900.78,1,5.56,8,2007-9-19 6:55,"663 White Tunnel Suite 995 Port Joseph, PR 93959-2444","Jones, Reyes and Cross",0
Sandra Mcintyre,36,10339.05,1,6.88,7,2010-8-2 9:34,"10676 Ferguson Ranch Suite 380 Lake Parker, OH 23498",Cowan Inc,0
Robert Joseph,46,11538.57,1,7.93,10,2015-4-3 16:15,"95222 Lisa Turnpike South Laurenburgh, NC 33273-8443",Cortez Inc,0
George Chavez,43,7178.92,1,5.32,8,2007-12-15 0:13,"63837 Jessica Valleys Apt. 645 East Jasmine, WV 26260-6871","Rodriguez, Moore and Cunningham",0
Joshua Walters,51,8840.51,0,2.7,7,2012-8-28 14:56,USS Mcdonald FPO AA 93590,Bennett Ltd,0
John Howard,47,14154.26,0,4.73,9,2012-8-19 15:56,"PSC 9026, Box 5801 APO AE 43474",Cantu Inc,0
Deborah Howell,42,10583.76,0,6.51,9,2006-8-18 5:47,"9609 Harper Dale New Danieltown, AR 80238-4616",Ortiz Ltd,0
Terry Diaz,46,11401.63,0,6.13,5,2014-6-30 15:46,USNV Rose FPO AP 67907-1654,"Charles, Cruz and Marshall",0
Roberto Gonzales,41,7495.6,1,6.57,8,2009-11-29 8:47,"13697 Hale Burgs Apt. 574 Jamesfort, UT 03958-6187",Davis and Sons,0
Jesse Mitchell,36,8878.96,1,4.66,9,2016-6-24 8:32,"4563 Rebecca Rest Lisaville, GA 03268","Dunn, Hopkins and Adams",0
Linda Allen,37,11111.59,1,6,7,2013-11-1 0:22,"9111 Harris Throughway Roblesfurt, MA 91589",Butler-Alexander,0
Heather Hernandez,42,8519.64,0,3.99,8,2006-3-1 7:20,"6815 Andrea Isle Lindseyborough, OR 26077-2763","Carr, Esparza and Flores",0
Ryan Chapman,44,12361.42,1,3.7,10,2014-11-13 21:11,"PSC 3188, Box 1421 APO AA 49368-5290",Williams Ltd,0
Anthony Mooney,41,9014.9,1,4.45,7,2010-11-19 4:30,"9131 Russell Court Suite 160 South Michellefurt, PW 79597",Knight-Price,0
Timothy Henry,42,6081.5,0,3.73,8,2011-4-22 16:14,"73765 Crystal Terrace Apt. 641 Ramirezfort, GU 82626-0948","Norris, Chavez and Martinez",0
Vanessa Hayes,43,10944.65,1,2.62,9,2010-6-24 21:15,"820 Kristin Lock Suite 348 Emilyhaven, WI 45502-8866",Casey-Stevens,0
Timothy Jacobs,40,11764.35,1,5.54,9,2006-9-16 5:57,"835 Potter Field Apt. 413 Port Kristina, IL 58467",Lawson-Jones,0
Austin Melendez,44,12155.91,1,4.11,5,2009-7-30 18:11,"697 Mcdowell Pike Lake Phillip, LA 32009-7853","Carlson, Ramos and Johnson",0
Brittany Green,41,11971.75,1,5.38,7,2011-2-13 18:26,"1241 Wiley Motorway Prattchester, TN 32961-5246","Smith, Stein and Mueller",0
Michael Perry,41,14080.95,1,4.61,7,2015-6-9 20:51,Unit 2093 Box 1530 DPO AA 53596-7800,Stone PLC,0
Theresa Martinez,41,6204.86,1,6.08,8,2016-5-12 17:50,"21267 Nixon Coves Moorestad, NH 93322-8817",Howell-Valdez,0
Jessica Gutierrez,39,4994.48,0,5.02,8,2016-7-29 12:56,"0347 Glenn Springs Kellyview, GU 58381-4038",Moreno-Sharp,0
James Franklin,36,11047.43,0,5.98,8,2006-4-11 5:00,"399 Herbert Key Port Thomas, PR 14265","Wright, Myers and Garcia",0
Julie Francis,40,12925.64,0,4.04,7,2013-3-16 6:25,"6656 Edward Manors Apt. 704 Flynnshire, GA 70372","Frank, Knox and Robinson",0
Marissa Nguyen,36,8233.25,1,4.35,7,2013-8-24 22:54,"8541 King Spur Suite 184 Aliciafurt, AZ 39457",Mueller LLC,0
Marie Bauer,39,9282.33,0,4.52,11,2009-4-8 21:56,"8923 Nunez Cove Apt. 302 New Allisonmouth, MP 01493",Bell-Kelly,0
Thomas Brown,46,13383.25,1,5.27,9,2010-4-6 23:18,"5098 Daniel Village Apt. 434 North Josephmouth, NJ 26103-2939",Brown-Estrada,0
Julie Moore,40,8911.91,0,6.99,10,2014-11-20 15:27,"67368 Karen Ford Suite 722 Gonzalezfort, MH 57379-8391",Huynh Inc,0
Nicole Jacobson,41,8783.13,1,6.2,7,2009-10-8 16:00,"029 Bill Alley Apt. 087 West Kenneth, UT 32896","Hoffman, Leach and Smith",0
John Davis,35,12654.35,0,1.66,7,2011-11-1 14:43,"88854 Sarah Lake Suite 435 Lake Steven, MD 39080",Gordon-Pruitt,0
Crystal Mccullough,40,6773.23,1,4.29,11,2006-10-17 12:23,"323 Adams Circles Andersonmouth, VI 05122-6749",Hall-Branch,0
Michael Patterson,31,9574.89,0,7.34,8,2009-1-27 11:02,"8392 Heather Camp Mackenziefurt, NE 44919-3028","Anderson, Brown and Montes",0
Brianna White,45,9722.92,1,3.35,8,2006-1-7 19:04,"087 Kimberly Ridges Thomasbury, MA 73601",Alexander LLC,0
Austin Hays,41,9516.87,0,4.94,7,2008-6-15 3:31,"55004 Schmidt Fort Apt. 448 North Samanthaland, AR 63822",Austin Ltd,0
Tammy Kelley,38,6638.87,1,5.61,8,2014-7-20 9:42,"41822 Wright Loop Apt. 718 West Kendrabury, CO 10948-4798",Smith and Sons,0
Monique Delgado,30,10960.52,1,5.96,9,2007-3-4 2:41,"781 Cassie Flat Austinville, AS 10515-8328",Silva-Guerra,0
Timothy Mcdonald,52,11093.87,0,4.38,5,2016-9-30 14:28,"6685 Marie Unions Suite 385 West Kevinfort, MS 77092-9463",Smith-Hawkins,0
Donald Barrett,51,10323.07,1,7.03,9,2014-1-14 10:48,"107 Melissa Manors Suite 419 East Teresashire, ME 40421-3419",Zhang-Brown,0
Darin Alexander,43,15858.91,1,4.51,8,2008-8-11 2:19,"82216 Garrison Coves Apt. 482 Heathertown, MS 60762",Anderson Group,0
Joseph Taylor,40,11309.18,0,4.91,7,2008-8-7 15:34,"170 Kenneth Flats South James, AL 78065",Robertson-Nelson,0
Catherine Martin,32,12142.99,0,5.01,7,2013-7-4 23:28,"75224 Powell Point Apt. 653 Lake Norma, AZ 05753",Lee Inc,0
Amber Carr,44,10965.95,1,4.11,8,2012-7-3 18:49,"95266 Mary Fort West Kennethmouth, WV 43523","Davis, Mccormick and Carson",0
Brenda Walls,51,10877.81,1,8.35,8,2006-5-10 4:40,"078 Nunez Haven Suite 032 East Bradley, SC 36621-1197","Jones, Black and Schneider",0
Carol Young,38,7491.55,0,5.66,12,2015-7-28 21:21,"31037 Gregory Creek Brooksmouth, FL 10099",Dunn LLC,0
James Shah,47,9324.49,1,4.91,6,2007-11-28 21:26,"66256 Danielle Ford New Maureen, MS 47550","Wilson, Collins and Lee",0
Julie Mitchell,45,9034.21,0,6.89,9,2011-6-20 1:07,"8195 Alan Junctions Lake Angela, SC 48151-1612",Jenkins-Johnson,0
Martha Green,54,11856.28,0,6.19,8,2014-3-14 17:28,USCGC Patrick FPO AP 72386,"Anderson, Webb and Gordon",0
John Long,41,9191.02,1,5.89,9,2013-6-10 16:50,"3142 Michael Shores Apt. 648 Port Kyleview, MA 08135-5259","Hernandez, Peck and Martin",0
Ricky Stewart,41,10617.16,0,6.26,8,2006-4-28 11:11,"927 Joseph Lights Lake Anthonyborough, ID 34724","Sutton, Black and Tate",0
Cassandra Proctor,49,11321.2,0,4.89,10,2006-3-7 0:11,"1780 Sherry Circle Ruizbury, WI 73815-9062","Smith, Moran and Gonzales",0
Kenneth James,41,15516.52,0,3.53,10,2016-1-7 7:31,Unit 7222 Box 4339 DPO AP 13281,Wright Group,0
Shawn Hughes,52,5647.92,0,5.08,8,2009-3-16 0:10,"89503 Hurley Wells Suite 603 Port Garrettmouth, MI 00879",Powell-Medina,0
Kim Adams,30,8677.28,1,7.31,7,2006-10-13 13:08,"766 Vanessa Villages West Michelle, VA 51730","Wiley, Macdonald and Lewis",0
Katie Wagner,43,15423.03,1,2.41,7,2007-5-26 3:19,"4331 Tyler Fall Williamfurt, NC 10542-4839","Galloway, Thornton and Diaz",0
Joshua Cole,38,8097.01,0,4.32,7,2011-12-15 7:22,"65431 Elizabeth Rest Apt. 912 Lake Stephanie, SD 65477-1657",Miller LLC,0
Tony Mathews,47,9148.74,1,6.38,8,2012-3-26 6:23,"8471 Jason Spur Jasminemouth, AL 19070","Navarro, Williams and Escobar",0
Andrew Kent,45,12374.97,0,4.66,7,2011-12-24 17:00,"79904 Jacobson Wells Apt. 852 Josephfort, NV 94414","Briggs, Cross and Norris",0
Nancy Riley,36,8646.72,0,6.33,8,2007-4-23 20:03,"65795 Shepard Flats New Sheila, NJ 22914-4957","Thompson, Mendez and Morales",0
Dr. Tina Le,53,10338.09,1,5.07,7,2007-4-7 9:21,"94016 Hill Village Suite 984 New Kristyfort, TN 68508-8351",Steele LLC,0
Jonathan Brown,38,13019.89,1,6.65,8,2011-1-24 12:28,"073 Ryan Haven Suite 323 New Jonathan, DC 25812-0853",Munoz-Pearson,0
Amy Baldwin,41,13743.42,0,3.92,9,2009-11-1 10:37,"596 Erica Route Apt. 258 New Janice, IN 57273",Morgan-Garcia,0
Gary Bryant,39,8646.2,0,2.94,9,2010-7-21 16:56,"636 John Road Suite 304 Morrisonshire, MN 04090-3035",Newman-Phillips,0
Jeffrey Thompson,42,6523.74,0,2.71,8,2013-6-6 3:51,"7280 Douglas River Apt. 701 Suzanneport, KS 56534","Peters, Rodriguez and Smith",0
Johnny Watts,56,8626.48,1,5.07,7,2011-6-13 5:25,"62761 Edwin Overpass Joshuabury, PA 98754-4095","Jacobs, Martinez and Bond",0
Stephanie Juarez,41,5191.08,0,6.29,7,2016-12-7 2:57,"026 Brown Springs Suite 306 Lindsayville, MD 06840","Gonzalez, Willis and Moody",0
James Velazquez,38,7097.52,1,4.68,6,2009-8-11 9:43,"91449 Warren Land Hallberg, SD 39520-2416","Williams, Wilcox and Mitchell",0
Erin Hall,41,13277.82,0,4.84,9,2009-2-21 5:30,"43775 Michael Curve Apt. 937 South Patricia, MN 13454-1801",Lawson-Carter,0
Justin Campos,53,3263,1,2.77,9,2013-11-11 22:49,"3483 Davis Viaduct Guzmanmouth, RI 60858",Hall-Butler,0
Jessica Flores,52,14669.61,0,6.28,9,2012-8-30 14:53,"38975 Jennifer Harbor Apt. 491 West Cody, WA 38692-1960",Wright Ltd,0
Richard Bell,47,13359.2,1,4.55,8,2016-7-29 8:39,"007 Davis Squares Flynnchester, SC 79849",Anderson Group,0
Betty Bowers,43,12078.39,1,6.06,6,2014-10-31 16:00,"79062 Henson Expressway Williamsview, PR 54326-7935",Davis Ltd,0
